,transcript_position,gene_ENSEMBL,gene_position,C001_L-92,C001_L-44,C001_L-3,C001_R+1,C002_L-92,C002_L-44,C002_L-3,C002_R+1,C003_L-92,C003_L-44,C003_L-3,C003_R+1,C004_L-92,C004_L-44,C004_L-3,C004_R+1,I4-FP1_methylKit p-value,I4-FP1_methylKit q-value,"I4-FP1_methylKit methylation difference, %"
ENST00000175091.5,961,ENSG00000068697.7,961,,,0.042549025,0.065007485,,,0.040841915,,0.045117844,,0.031462528,0.022776078,,0.045947455,0.03369782,0.06741091,1.0,1.0,1.94303501618608
ENST00000175756.10,1106,ENSG00000072135.13,1117,,,,,,,,,,,,,,,,0.025335968,1.0,1.0,
ENST00000175756.10,1301,ENSG00000072135.13,1312,,,,,,,,,,,,,,,,0.098448835,1.0,1.0,
ENST00000175756.10,1354,ENSG00000072135.13,1365,,,,,,,,,,,,,,,,0.11905078,1.0,1.0,
ENST00000175756.10,1406,ENSG00000072135.13,1417,,,,,,,,,,,,,,,,0.37391824,1.0,1.0,
ENST00000175756.10,1423,ENSG00000072135.13,1434,,,,,,,,,,,,,,,,0.44015497,1.0,1.0,
ENST00000175756.10,1476,ENSG00000072135.13,1487,,,,,,,,,,,,,,,,0.9965644,1.0,1.0,
ENST00000175756.10,1521,ENSG00000072135.13,1532,,,,,,,,,,,,,,,,0.01909033,1.0,1.0,
ENST00000175756.10,1585,ENSG00000072135.13,1596,,,,,,,,,,,,,,,,0.9725939,1.0,1.0,
ENST00000175756.10,1687,ENSG00000072135.13,1698,,,,,,,,,,,,,,,,0.18412086,1.0,1.0,
ENST00000175756.10,1714,ENSG00000072135.13,1725,,,,,,,,,,,,,,,,0.8490866,1.0,1.0,
ENST00000175756.10,1732,ENSG00000072135.13,1743,,,,,,,,,,,,,,,,0.55509603,1.0,1.0,
ENST00000175756.10,1792,ENSG00000072135.13,1803,,,,,,,,,,,,,,,,0.81967574,1.0,1.0,
ENST00000175756.10,1803,ENSG00000072135.13,1814,,,,,,,,,,,,,,,,0.24495515,1.0,1.0,
ENST00000175756.10,1824,ENSG00000072135.13,1835,,,,,,,,,,,,,,,0.5365977,0.66358507,1.0,1.0,3.70995852199888
ENST00000175756.10,1845,ENSG00000072135.13,1856,,,,,,,,,,,,,,,,0.5182225,1.0,1.0,
ENST00000175756.10,1860,ENSG00000072135.13,1871,,,,,,,,,,,,,,,0.0051556947,0.009336996,1.0,1.0,5.43301914289067
ENST00000175756.10,1879,ENSG00000072135.13,1890,,,,,,,,,,,,,,,,0.0012200236,1.0,1.0,
ENST00000175756.10,1890,ENSG00000072135.13,1901,,,,,,,,,,,,,,,,0.061322927,1.0,1.0,
ENST00000175756.10,1902,ENSG00000072135.13,1913,,,,,,,,,,,,,,,,0.3320883,1.0,1.0,
ENST00000175756.10,1918,ENSG00000072135.13,1929,,,,,,,,,,,,,,,0.23342133,0.13419099,1.0,1.0,1.72466230913858
ENST00000175756.10,1922,ENSG00000072135.13,1933,,,,,,,,,,,,,,,,0.13688736,1.0,1.0,
ENST00000175756.10,1930,ENSG00000072135.13,1941,,,,,,,,,,,,,,,,0.5024153,1.0,1.0,
ENST00000175756.10,1943,ENSG00000072135.13,1954,,,,,,,,,,,,,,,,0.75090826,1.0,1.0,
ENST00000175756.10,1947,ENSG00000072135.13,1958,,,,,,,,,,,,,,,0.83521163,0.662114,1.0,1.0,2.37824992930234
ENST00000175756.10,1982,ENSG00000072135.13,1993,,,,,,,,,,,,,,,,0.21693699,1.0,1.0,
ENST00000175756.10,2012,ENSG00000072135.13,2023,,,,,,,,,,,,,,,,0.4241026,1.0,1.0,
ENST00000175756.10,2032,ENSG00000072135.13,2043,,,,,,,,,,,,,,,,0.2957732,1.0,1.0,
ENST00000175756.10,2050,ENSG00000072135.13,2061,,,,,,,,,,,,,,,0.17291322,0.12492855,1.0,1.0,2.1674782876636
ENST00000175756.10,2058,ENSG00000072135.13,2069,,,,,,,,,,,,,,,0.024223197,0.02447617,1.0,1.0,3.03133025752133
ENST00000175756.10,2074,ENSG00000072135.13,2085,,,,,,,,,,,,,,,0.020191312,0.1631292,1.0,1.0,24.2375334500303
ENST00000175756.10,2078,ENSG00000072135.13,2089,,,,,,,,,,,,,,,0.035509598,0.08142723,1.0,1.0,6.87931443211494
ENST00000175756.10,2107,ENSG00000072135.13,2118,,,,,,,,,,,,,,,,0.24560094,1.0,1.0,
ENST00000175756.10,2129,ENSG00000072135.13,2140,,,,,,,,,,,,,,,0.085494995,0.08147073,1.0,1.0,2.8587894531136
ENST00000175756.10,2139,ENSG00000072135.13,2150,,,,,,,,,,,,,,,0.0024560331,0.0009978175,1.0,1.0,1.21881602491432
ENST00000175756.10,2155,ENSG00000072135.13,2166,,,,,,,,,,,,,,,,0.5369384,1.0,1.0,
ENST00000175756.10,2176,ENSG00000072135.13,2187,,,,,,,,,,,,,,,,0.0473678,1.0,1.0,
ENST00000175756.10,2211,ENSG00000072135.13,2222,,,,,,,,,,,,,,,0.0913766,0.1425153,1.0,1.0,4.67894296789331
ENST00000175756.10,2215,ENSG00000072135.13,2226,,,,0.28451666,,,,,,,,,,,0.27105793,0.2996553,1.0,1.0,6.46546618281929
ENST00000175756.10,2228,ENSG00000072135.13,2239,,,,,,,,,,,,,,,0.18663178,0.17227797,1.0,1.0,2.76927064618898
ENST00000175756.10,2232,ENSG00000072135.13,2243,,,,,,,,,,,,,,,0.75501126,0.7281853,1.0,1.0,2.89340837115462
ENST00000175756.10,2239,ENSG00000072135.13,2250,,,,0.00035578012,,,,,,,,,,,0.001282227,0.0004590392,1.0,1.0,1.90641591543463
ENST00000175756.10,2252,ENSG00000072135.13,2263,,,,,,,,,,,,,,,,0.8023697,1.0,1.0,
ENST00000175756.10,2260,ENSG00000072135.13,2271,,,,,,,,,,,,,,,0.17005439,0.026625847,1.0,1.0,0.469717606231747
ENST00000175756.10,2268,ENSG00000072135.13,2279,,,,,,,,,,,,,,,,0.089937255,1.0,1.0,
ENST00000175756.10,2290,ENSG00000072135.13,2301,,,,0.016710293,,,,,,,,,,,,0.4100082,1.0,1.0,
ENST00000175756.10,2311,ENSG00000072135.13,2322,,,,0.26904652,,,,,,,0.56746835,,,,0.34695727,0.47695556,1.0,1.0,2.44744481240584
ENST00000175756.10,2339,ENSG00000072135.13,2350,,,,,,,,,,,,,,,0.4675433,0.5030849,1.0,1.0,3.22805331613136
ENST00000175756.10,2354,ENSG00000072135.13,2365,,,,,,,,,,,,,,,0.014922428,0.032658923,1.0,1.0,6.56573910090234
ENST00000175756.10,2372,ENSG00000072135.13,2383,,,,,,,,,,,,,,,0.06822131,0.08351433,1.0,1.0,3.67250335708886
ENST00000175756.10,2376,ENSG00000072135.13,2387,,,,,,,,,,,,,,,,0.10009368,1.0,1.0,
ENST00000175756.10,2415,ENSG00000072135.13,2426,,,,0.08382996,,,,,,,,,,,0.10307479,0.26299533,1.0,1.0,10.0943777814148
ENST00000175756.10,2423,ENSG00000072135.13,2434,,,,,,,,,,,0.1858061,,,,,0.413747,1.0,1.0,6.68030274571179
ENST00000175756.10,2440,ENSG00000072135.13,2451,,,,,,,,,,,,,,,0.44432145,0.53287095,1.0,1.0,3.59787457931639
ENST00000175756.10,2454,ENSG00000072135.13,2465,,,,0.14346579,,,,,,,0.50560534,,,,0.113107644,0.23068075,1.0,1.0,1.81415235986061
ENST00000175756.10,2465,ENSG00000072135.13,2476,,,,0.0563977,,,,,,,0.15369537,,,,0.24411865,0.28568673,1.0,1.0,2.57973132771942
ENST00000175756.10,2476,ENSG00000072135.13,2487,,,,0.04913931,,,,,,,0.24463245,,,,0.37660128,0.37257934,1.0,1.0,2.03652166472029
ENST00000175756.10,2480,ENSG00000072135.13,2491,,,,,,,,,,,0.24843392,,,,0.21226916,0.25716564,1.0,1.0,1.67460768875259
ENST00000175756.10,2492,ENSG00000072135.13,2503,,,,0.40135163,,,,,,,0.6237488,,,,0.4509446,0.40141648,1.0,1.0,2.24092222954007
ENST00000175756.10,2496,ENSG00000072135.13,2507,,,,0.02099663,,,,,,,0.14724568,,,,0.2475998,0.08992722,1.0,1.0,0.842789310897012
ENST00000175756.10,2533,ENSG00000072135.13,2544,,,,0.11659459,,,,,,,0.2687009,,,,0.22996211,0.13463606,1.0,1.0,1.51142542134817
ENST00000175756.10,2589,ENSG00000072135.13,2600,,,,0.020751942,,,,,,,0.21584716,,,,0.30376744,0.27613845,1.0,1.0,1.71409959612374
ENST00000175756.10,2600,ENSG00000072135.13,2611,,,,0.68534625,,,,,,,0.72729856,,,,0.8706072,0.78979194,1.0,1.0,2.76950911673289
ENST00000175756.10,2692,ENSG00000072135.13,2703,,,,0.07648852,,,,,,,0.037291504,,,,0.07709564,0.051730692,1.0,1.0,3.36276982315425
ENST00000175756.10,2733,ENSG00000072135.13,2744,,0.015543044,,0.053733695,,,,,,,0.010935878,,,,0.021968793,0.024920452,1.0,1.0,4.87045552096729
ENST00000175756.10,2767,ENSG00000072135.13,2778,,0.7084769,,0.4295477,,,,,,,0.698635,,,,0.7495661,0.5059123,1.0,1.0,1.3012512762684
ENST00000175756.10,2791,ENSG00000072135.13,2802,,,,0.39930496,,,,,,,0.77733743,,,,0.59255135,0.5819411,1.0,1.0,2.14888845209754
ENST00000175756.10,2845,ENSG00000072135.13,2856,,,,0.29718438,,,,,,,0.3986544,,,,0.38321823,0.29348484,1.0,1.0,2.26636358916924
ENST00000175756.10,2884,ENSG00000072135.13,2895,,0.10027392,,0.43881273,,,,,,,0.5698691,,,,0.40961188,0.460867,1.0,1.0,2.49967764906646
ENST00000175756.10,2891,ENSG00000072135.13,2902,,0.8577573,,0.6589896,,,,,0.9159166,,0.78407186,,,,0.6968337,0.7406167,1.0,1.0,1.29012640545577
ENST00000175756.10,2895,ENSG00000072135.13,2906,,0.3757618,,0.18187504,,,,,0.32234755,,0.15708943,,,,0.3459483,0.3066116,1.0,1.0,1.22005035386673
ENST00000175756.10,3044,ENSG00000072135.13,3055,0.8581837,0.90903604,0.84083414,0.93818694,,,0.9765419,,0.89082086,,0.6807213,,,,0.88716805,0.93002003,1.0,1.0,0.927409752091669
ENST00000175756.10,3141,ENSG00000072135.13,3152,0.0029153586,0.0038839101,0.010761416,0.006026971,,,0.005254877,,0.004437387,,0.006002343,,0.00535413,,0.0045985105,0.0130207185,1.0,1.0,1.32251338100368
ENST00000175756.10,3152,ENSG00000072135.13,3163,0.24070373,0.19121805,0.2688601,0.18484396,,,0.17811413,,0.452918,,0.2825049,,0.29588613,,0.42516518,0.1712638,1.0,1.0,0.457453499599733
ENST00000175756.10,3297,ENSG00000072135.13,3308,0.18803214,0.2449694,0.015293169,0.057294987,0.050157774,,0.09021206,,0.117470704,,0.17826483,,0.34883004,,0.0694762,0.17634352,1.0,1.0,0.538045691383563
ENST00000175756.10,3370,ENSG00000072135.13,3381,0.13001004,0.30412847,0.054750036,0.24903484,0.16807877,,0.22007938,,0.36667317,,0.07855509,,0.1646612,0.10538675,0.23683181,0.19683057,1.0,1.0,0.731264675590186
ENST00000175756.10,3488,ENSG00000072135.13,3499,0.08854081,0.052559745,0.03153827,0.21048002,,,0.10917388,,0.12819728,,0.2101688,,0.13541803,0.074863926,0.120425664,0.12376636,1.0,1.0,1.05453094578631
ENST00000175756.10,3555,ENSG00000072135.13,3566,0.049334586,0.29231402,0.30729684,0.4922878,0.18000844,,0.18722643,,0.45609587,,0.24968286,,0.4756456,0.29151955,0.34385794,0.43303138,1.0,1.0,0.97987117699213
ENST00000175756.10,3599,ENSG00000072135.13,3610,,,,0.2719491,,,0.21305934,,,,0.13756149,,0.22992043,,0.42353648,0.31321973,1.0,1.0,1.74837706291546
ENST00000176763.10,2010,ENSG00000072786.13,2010,,,,,,,,,,,,,,,,0.16033429,1.0,1.0,
ENST00000176763.10,2025,ENSG00000072786.13,2025,,,,,,,,,,,,,,,,0.069980964,1.0,1.0,
ENST00000176763.10,2070,ENSG00000072786.13,2070,,,,,,,,,,,,,,,,0.21843234,1.0,1.0,
ENST00000176763.10,2127,ENSG00000072786.13,2127,,,,,,,,,,,,,,,,0.47122264,1.0,1.0,
ENST00000176763.10,2155,ENSG00000072786.13,2155,,,,,,,,,,,,,,,,0.36684528,1.0,1.0,
ENST00000176763.10,2265,ENSG00000072786.13,2265,,,,,,,,,,,,,,,,0.096486546,1.0,1.0,
ENST00000176763.10,2271,ENSG00000072786.13,2271,,,,,,,,,,,,,,,,0.33934957,1.0,1.0,
ENST00000176763.10,2295,ENSG00000072786.13,2295,,,,,,,,,,,,,,,,0.23377042,1.0,1.0,
ENST00000176763.10,2349,ENSG00000072786.13,2349,,,,,,,,,,,,,,,0.16543783,0.16241796,1.0,1.0,2.94523858297706
ENST00000176763.10,2394,ENSG00000072786.13,2394,,,,,,,,,,,,,,,,0.03902339,1.0,1.0,
ENST00000176763.10,2472,ENSG00000072786.13,2472,,,,,,,,,,,,,,,,0.11263947,1.0,1.0,
ENST00000176763.10,2764,ENSG00000072786.13,2764,,,,,,,,,,,0.0075323223,,,,0.038241576,0.019544816,1.0,1.0,1.28095814815055
ENST00000176763.10,2772,ENSG00000072786.13,2772,,,,,,,,,,,0.15957788,,,,0.073297575,0.17019767,1.0,1.0,2.19255829258605
ENST00000176763.10,2784,ENSG00000072786.13,2784,,,,,,,,,,,0.15696564,,,,0.24579878,0.06283961,1.0,1.0,0.468062273226617
ENST00000176763.10,2867,ENSG00000072786.13,2867,,,,0.0026563406,,,,,,,0.0039630057,,,,0.007429695,0.006276143,1.0,1.0,2.35215964200656
ENST00000176763.10,2875,ENSG00000072786.13,2875,,,,0.16277541,,,,,,,0.17689799,,,,0.52295005,0.19006315,1.0,1.0,1.5124935978959
ENST00000176763.10,2901,ENSG00000072786.13,2901,,,,0.0027843714,,,,,,,0.0020673038,,,,0.011485612,0.005323434,1.0,1.0,1.79469986820105
ENST00000176763.10,2907,ENSG00000072786.13,2907,,,,0.28353018,,,,,,,0.51185656,,,,0.5379487,0.51838195,1.0,1.0,2.29160253016831
ENST00000176763.10,2925,ENSG00000072786.13,2925,,,,,,,,,,,0.084223166,,,,0.11084993,0.059719145,1.0,1.0,0.918411809078992
ENST00000176763.10,2967,ENSG00000072786.13,2967,,,,0.1684072,,,,,,,0.32765335,,,,0.23331824,0.17976694,1.0,1.0,1.86198809105466
ENST00000176763.10,3027,ENSG00000072786.13,3027,,,,0.004513788,,,,,,,0.010223508,,,,0.010446918,0.013586676,1.0,1.0,2.62700884829369
ENST00000176763.10,3088,ENSG00000072786.13,3088,,,,0.01038264,,,,,,,0.019007098,,,,0.0018941283,0.007295859,1.0,1.0,2.53743470544596
ENST00000176763.10,3154,ENSG00000072786.13,3154,,,,,,,,,,,0.43331337,,,,0.9053052,0.7047822,1.0,1.0,1.57949893075217
ENST00000176763.10,3161,ENSG00000072786.13,3161,,,,0.15310481,,,,,,,0.25004312,,,,0.25752273,0.44593993,1.0,1.0,3.54069175457726
ENST00000176763.10,3168,ENSG00000072786.13,3168,,,,0.950189,,,,,,,0.96510106,,,,0.9229908,0.9595598,1.0,1.0,3.03441083634564
ENST00000176763.10,3263,ENSG00000072786.13,3263,,,,0.60115355,,,,,,,0.77981263,,,,0.29032224,0.810989,1.0,1.0,3.95877918640292
ENST00000176763.10,3311,ENSG00000072786.13,3311,,,,0.555977,,,,,,,0.5328428,,,,0.43791395,0.632619,1.0,1.0,3.6732044356117
ENST00000176763.10,3458,ENSG00000072786.13,3458,,,,,,,,,,,0.9066186,,,,0.91787386,0.6866232,1.0,1.0,1.12900965345726
ENST00000176763.10,3652,ENSG00000072786.13,3652,,,,0.18723102,,,,,,,0.386082,,,,0.13386536,0.38681656,1.0,1.0,3.3121482528539
ENST00000176763.10,3681,ENSG00000072786.13,3681,,,,,,,,,,,0.21886596,,,,0.46995345,0.32632643,1.0,1.0,1.42124231081118
ENST00000176763.10,3796,ENSG00000072786.13,3796,,,,0.8336396,,,,,,,0.86167526,,,,0.910261,0.9260006,1.0,1.0,2.97918199382634
ENST00000176763.10,3839,ENSG00000072786.13,3839,,,,0.45206094,,,,,,,0.13732347,,,,0.22590002,0.09682761,1.0,1.0,4.53347785959548
ENST00000176763.10,3995,ENSG00000072786.13,3995,,,,0.9626786,,,,,,,0.94676906,,,,0.98608446,0.98985064,1.0,1.0,3.03053886877056
ENST00000176763.10,4072,ENSG00000072786.13,4072,,,,0.0076107145,,,,,,,0.0034253597,,,,0.0073623895,0.0052566407,1.0,1.0,3.57832434591638
ENST00000176763.10,4139,ENSG00000072786.13,4139,,,,0.099709,,,,,,,0.054442205,,,,0.3128333,0.2326118,1.0,1.0,2.71448105421569
ENST00000176763.10,4161,ENSG00000072786.13,4161,,,,,,,,,,,,,,,,0.96974003,1.0,1.0,
ENST00000176763.10,4217,ENSG00000072786.13,4217,,,,0.4160757,,,,,,,0.31185836,,,,0.26871905,0.51599497,1.0,1.0,4.81626043631287
ENST00000176763.10,4252,ENSG00000072786.13,4252,,,,0.991933,,,,,,,0.99317074,,,,0.99329394,0.9939865,1.0,1.0,2.9991766579006
ENST00000176763.10,5068,ENSG00000072786.13,5068,,,,,,,,,,,,,,,,0.18852088,1.0,1.0,
ENST00000176763.10,5115,ENSG00000072786.13,5115,,,,,,,,,,,,,,,,0.5243239,1.0,1.0,
ENST00000176763.10,5209,ENSG00000072786.13,5209,,,,,,,,,,,,,,,,0.17667738,1.0,1.0,
ENST00000176763.10,5257,ENSG00000072786.13,5257,,,,,,,,,,,0.0008518696,,,,,0.0039633154,1.0,1.0,13.9574721295372
ENST00000176763.10,5302,ENSG00000072786.13,5302,,,,,,,,,,,0.023576796,,,,,0.031664073,1.0,1.0,4.02905547471335
ENST00000176763.10,5308,ENSG00000072786.13,5308,,,,,,,,,,,0.16045158,,,,,0.17520396,1.0,1.0,3.27582863316148
ENST00000176763.10,5323,ENSG00000072786.13,5323,,,,,,,,,,,0.039067734,,,,,0.14214632,1.0,1.0,10.9153748205616
ENST00000176763.10,5331,ENSG00000072786.13,5331,,,,,,,,,,,0.18389598,,,,,0.65456045,1.0,1.0,10.6782179251552
ENST00000176763.10,5337,ENSG00000072786.13,5337,,,,,,,,,,,0.054816555,,,,,0.014212931,1.0,1.0,0.77784517834074
ENST00000176763.10,5370,ENSG00000072786.13,5370,,,,,,,,,,,0.19689164,,,,,0.09947765,1.0,1.0,1.51572179499342
ENST00000176763.10,5378,ENSG00000072786.13,5378,,,,,,,,,,,0.11470389,,,,,0.009205091,1.0,1.0,0.240752715535628
ENST00000176763.10,5596,ENSG00000072786.13,5596,,,,,,,0.6273354,,,,0.35623124,,,,,0.43367547,1.0,1.0,1.322763864785
ENST00000176763.10,5703,ENSG00000072786.13,5703,,,,,,,0.2124671,,,,0.03846253,,,,0.18785152,0.08543531,1.0,1.0,0.584131588150493
ENST00000176763.10,5707,ENSG00000072786.13,5707,,,,,,,0.05459397,,,,0.14180592,,,,0.15258911,0.09363812,1.0,1.0,0.804937576829069
ENST00000176763.10,5712,ENSG00000072786.13,5712,,,,,,,0.32199973,,,,0.29019776,,,,0.24761486,0.2779015,1.0,1.0,0.969635409400667
ENST00000176763.10,5752,ENSG00000072786.13,5752,,,,,,,0.053715993,,,,0.022354519,,,,0.04889071,0.06009873,1.0,1.0,1.44281711649714
ENST00000176763.10,5756,ENSG00000072786.13,5756,,,,,,,0.060313784,,,,0.01709187,,,,0.06989875,0.10731292,1.0,1.0,2.18553384188024
ENST00000176763.10,5808,ENSG00000072786.13,5808,,,,,,,0.017972851,,,,0.040865947,,,,0.27273536,0.04492861,1.0,1.0,0.406502819197387
ENST00000176763.10,5849,ENSG00000072786.13,5849,,,,,,,0.18848059,,,,0.06551597,,,,,0.13417467,1.0,1.0,1.58476165976421
ENST00000176763.10,5883,ENSG00000072786.13,5883,,,,,,,0.003425944,,,,,,,,,0.0032543421,1.0,1.0,2.84973318302926
ENST00000177694.2,1747,ENSG00000073861.3,1747,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,1810,ENSG00000073861.3,1810,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,1834,ENSG00000073861.3,1834,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,1848,ENSG00000073861.3,1848,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,1854,ENSG00000073861.3,1854,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,1905,ENSG00000073861.3,1905,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2016,ENSG00000073861.3,2016,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2055,ENSG00000073861.3,2055,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2114,ENSG00000073861.3,2114,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2178,ENSG00000073861.3,2178,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2193,ENSG00000073861.3,2193,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2219,ENSG00000073861.3,2219,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2268,ENSG00000073861.3,2268,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2288,ENSG00000073861.3,2288,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2317,ENSG00000073861.3,2317,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2326,ENSG00000073861.3,2326,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2333,ENSG00000073861.3,2333,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000177694.2,2361,ENSG00000073861.3,2361,,,,,,,,,,,,,,,,,1.0,1.0,
ENST00000194530.8,1001,ENSG00000082146.13,64883,,,,,0.41639954,,,0.5122224,,,0.6029708,,,,0.32926357,,1.0,1.0,1.13942500526328
ENST00000194530.8,1010,ENSG00000082146.13,64892,,,,,0.020669341,,,,,,0.008861244,,,,0.055947483,,1.0,1.0,0.0
ENST00000194530.8,1102,ENSG00000082146.13,64984,,,,,0.09965577,,,0.19517426,,,0.15533799,,,,0.10258961,,1.0,1.0,1.63744410149722
ENST00000194530.8,1113,ENSG00000082146.13,64995,,,,,0.63545406,,,0.87382257,,,0.7099969,,,,0.70033413,,1.0,1.0,1.28139936243254
ENST00000194530.8,1133,ENSG00000082146.13,65015,,,,,0.08985309,,0.022636045,0.035238374,,,0.07699273,,,,0.15454249,,1.0,1.0,0.307289645234564
ENST00000194530.8,1219,ENSG00000082146.13,65101,,,,,0.34673834,,0.10860423,0.30116647,,,0.23870453,,,,0.26144022,0.35623676,1.0,1.0,2.06408776832328
ENST00000194530.8,1257,ENSG00000082146.13,65139,,,,,0.67169684,,0.7440175,0.85769904,,,0.5317801,,,,0.82959527,,1.0,1.0,0.926544472342594
ENST00000194530.8,1276,ENSG00000082146.13,65158,,,,,0.14573081,,0.14632338,0.16853274,,,0.21898594,,,,0.1414394,,1.0,1.0,0.774887481910735
ENST00000194530.8,1302,ENSG00000082146.13,65184,,,,,0.020032382,,0.41285247,0.012297141,,,0.15247646,,,,0.34923667,0.05592333,1.0,1.0,0.218983367117948
ENST00000194530.8,1403,ENSG00000082146.13,65285,,,,,0.057123996,,0.031540535,0.030452097,,,0.051805854,,,,0.08756913,,1.0,1.0,0.400616055511256
ENST00000194530.8,1459,ENSG00000082146.13,65341,,,,,0.0092384815,0.010175372,0.0037632107,0.011724937,0.006301439,,0.002578199,,0.0039052963,0.01463226,0.009307265,0.006696069,1.0,1.0,0.922564482020227
ENST00000194530.8,1497,ENSG00000082146.13,65379,,,,,0.89081395,0.8989294,0.92874,0.96723616,,,0.91146076,,0.9500257,0.967517,0.94796103,0.95680743,1.0,1.0,0.888642463488706
ENST00000194530.8,1531,ENSG00000082146.13,65413,,,,,0.9546622,,0.92466295,0.93470067,0.88391036,,0.8579195,,0.91628754,0.8986925,0.9235822,0.97533035,1.0,1.0,0.900998084466726
ENST00000194530.8,1584,ENSG00000082146.13,65466,,,,,0.040070094,,0.041700672,0.03945564,,,0.09140509,,0.04570372,0.026997458,0.058959603,,1.0,1.0,0.388296240126806
ENST00000194530.8,1684,ENSG00000082146.13,65566,,,,,0.031371426,,0.010420287,0.023243666,,,0.018468296,,,,0.018976498,,1.0,1.0,0.880036243899544
ENST00000194530.8,1743,ENSG00000082146.13,65625,,,,,0.056077313,,0.05817783,0.011528063,,,0.021338439,,,,0.09438588,,1.0,1.0,0.150379467363046
ENST00000194530.8,1751,ENSG00000082146.13,65633,,,,,0.0067334054,,0.0076786997,0.0037203073,,,0.032762147,,,0.008073842,0.009917855,,1.0,1.0,0.171269229622867
ENST00000194530.8,1810,ENSG00000082146.13,65692,,,,,0.1702557,,0.5604643,0.24520083,,,0.36493784,,,0.38600746,0.3017249,,1.0,1.0,0.412474224653696
ENST00000194530.8,1814,ENSG00000082146.13,65696,,,,,0.041239154,,0.014717078,0.0044119,,,0.012493646,,,0.014660907,0.025975669,,1.0,1.0,0.121332205005032
ENST00000194530.8,1898,ENSG00000082146.13,65780,,,,,0.69971776,,0.37622645,0.5915214,,,0.28043672,,,0.80476964,0.29349753,,1.0,1.0,0.722940367704845
ENST00000194530.8,1959,ENSG00000082146.13,65841,,,,,0.0052063228,,0.0057165385,0.007529688,,,0.051819097,,,0.007979607,0.006767833,,1.0,1.0,0.291511671216577
ENST00000194530.8,1987,ENSG00000082146.13,65869,,,,,,,,,,,0.041992735,,,,0.024381101,,1.0,1.0,0.0
ENST00000194530.8,2051,ENSG00000082146.13,65933,,,,,0.0116248485,,0.0077978494,0.0050344346,,,0.009616816,,,,0.00965966,,1.0,1.0,0.390274578962007
ENST00000194530.8,2058,ENSG00000082146.13,65940,,,,,0.6731063,,0.5715441,0.37665352,,,0.33116415,,,,0.5577504,,1.0,1.0,0.529611512412593
ENST00000194530.8,2144,ENSG00000082146.13,66026,,,,,,,,,,,0.017698383,,,,,,1.0,1.0,0.0
ENST00000194530.8,232,ENSG00000082146.13,64114,,,,,,,,,,,0.0038756728,,,,0.012489438,,1.0,1.0,0.0
ENST00000194530.8,280,ENSG00000082146.13,64162,,,,,,,,0.5421308,,,0.5825597,,,,0.6381718,,1.0,1.0,1.33230968480783
ENST00000194530.8,327,ENSG00000082146.13,64209,,,,,,,,,,,0.2259036,,,,0.29021004,,1.0,1.0,0.0
ENST00000194530.8,347,ENSG00000082146.13,64229,,,,,,,,,,,0.11664884,,,,0.08273282,,1.0,1.0,0.0
ENST00000194530.8,356,ENSG00000082146.13,64238,,,,,,,,,,,0.05509367,,,,0.020577073,,1.0,1.0,0.0
ENST00000194530.8,366,ENSG00000082146.13,64248,,,,,,,,0.00460124,,,0.002713561,,,,0.0050944686,,1.0,1.0,1.76788776517957
ENST00000194530.8,499,ENSG00000082146.13,64381,,,,,,,,0.0075606825,,,0.010006463,,,,0.009755135,,1.0,1.0,1.14778407596389
ENST00000194530.8,507,ENSG00000082146.13,64389,,,,,,,,0.2414637,,,0.51701146,,,,0.49747172,,1.0,1.0,0.71404939409641
ENST00000194530.8,543,ENSG00000082146.13,64425,,,,,,,,0.2258509,,,0.3318607,,,,0.23135039,,1.0,1.0,1.20301732694929
ENST00000194530.8,552,ENSG00000082146.13,64434,,,,,,,,0.015509153,,,0.033712972,,,,0.03788786,,1.0,1.0,0.649817295419137
ENST00000194530.8,577,ENSG00000082146.13,64459,,,,,,,,,,,0.26291233,,,,0.08362575,,1.0,1.0,0.0
ENST00000194530.8,663,ENSG00000082146.13,64545,,,,,,,,,,,0.06501601,,,,0.39271358,,1.0,1.0,0.0
ENST00000194530.8,741,ENSG00000082146.13,64623,,,,,0.40354976,,,0.23913498,,,0.29457733,,,,0.2031453,,1.0,1.0,0.795991254097998
